lgrid,max_solve_time,cplex_solve_time,el0ps_solve_time,l0bnb_solve_time,mosek_solve_time,mosek_oa_solve_time,objective_value,datafit_value,n_nnz
1.0,600.0,,0.0025125269999997832,,5.904253516332649,0.5159829457600912,1.0,1.0,0.0
0.7943282347242815,600.0,,0.010865918555555472,,87.98593018788932,0.8134448793199327,1.0,1.0,0.0
0.6309573444801932,600.0,,0.015207112222222227,,122.50983266499998,0.833294153213501,1.0,1.0,0.0
0.5011872336272722,600.0,,0.049996473222222546,,278.80220102155636,2.935515350765652,1.0,1.0,0.0
0.3981071705534972,600.0,,0.06069226677777776,,105.41974739611123,4.530577315224542,0.9741245686880914,0.5401738335204386,1.0
0.31622776601683794,600.0,,0.019074778333333993,,83.23584610488913,3.651471667819553,0.938979897652362,0.5401738335204386,1.0
0.25118864315095796,600.0,,0.03137195288888882,,82.58156423399997,1.7149167325761583,0.9110634931485853,0.5401738335204386,1.0
0.19952623149688792,600.0,,0.04381724533333347,,73.81921007777812,2.8060653474595814,0.8888887048392514,0.5401738335204386,1.0
0.15848931924611134,600.0,,0.045044296777777916,,94.08435677944453,3.997107903162638,0.8712746443861136,0.5401738335204386,1.0
0.12589254117941673,600.0,,0.04919412666666664,,108.6106648558891,3.562209235297309,0.8572832988400457,0.5401738335204386,1.0
0.1,600.0,,0.05038276866666634,,133.7256678594445,4.585264815224542,0.8461695780310204,0.5401738335204386,1.0
